away,home,date
WSN,CLE,2024-06-01
ARI,NYM,2024-06-01
SDP,KCR,2024-06-01
MIN,HOU,2024-06-01
OAK,ATL,2024-06-01
TEX,MIA,2024-06-01
CHW,MIL,2024-06-01
CIN,CHC,2024-06-01
LAA,SEA,2024-06-01
STL,PHI,2024-06-01
NYY,SFG,2024-06-01
COL,LAD,2024-06-01
DET,BOS,2024-06-02
TBR,BAL,2024-06-02
STL,PHI,2024-06-02
OAK,ATL,2024-06-02
PIT,TOR,2024-06-02
WSN,CLE,2024-06-02
ARI,NYM,2024-06-02
TEX,MIA,2024-06-02
SDP,KCR,2024-06-02
MIN,HOU,2024-06-02
CHW,MIL,2024-06-02
CIN,CHC,2024-06-02
NYY,SFG,2024-06-02
COL,LAD,2024-06-02
LAA,SEA,2024-06-02
MIL,PHI,2024-06-03
NYM,WSN,2024-06-03
BAL,TOR,2024-06-03
DET,TEX,2024-06-03
STL,HOU,2024-06-03
CIN,COL,2024-06-03
SDP,LAA,2024-06-03
SFG,ARI,2024-06-03
KCR,CLE,2024-06-04
LAD,PIT,2024-06-04
TBR,MIA,2024-06-04
MIL,PHI,2024-06-04
NYM,WSN,2024-06-04
MIN,NYY,2024-06-04
BAL,TOR,2024-06-04
ATL,BOS,2024-06-04
DET,TEX,2024-06-04
CHW,CHC,2024-06-04
STL,HOU,2024-06-04
CIN,COL,2024-06-04
SDP,LAA,2024-06-04
SEA,OAK,2024-06-04
SFG,ARI,2024-06-04
ATL,BOS,2024-06-05
STL,HOU,2024-06-05
CIN,COL,2024-06-05
SFG,ARI,2024-06-05
NYM,WSN,2024-06-05
MIL,PHI,2024-06-05
KCR,CLE,2024-06-05
LAD,PIT,2024-06-05
TBR,MIA,2024-06-05
MIN,NYY,2024-06-05
BAL,TOR,2024-06-05
DET,TEX,2024-06-05
CHW,CHC,2024-06-05
SDP,LAA,2024-06-05
SEA,OAK,2024-06-05
BAL,TOR,2024-06-06
KCR,CLE,2024-06-06
SEA,OAK,2024-06-06
LAD,PIT,2024-06-06
ATL,WSN,2024-06-06
MIN,NYY,2024-06-06
CHC,CIN,2024-06-06
